구간	묶음	제목	부제	수량	본문
초반부		주인공의 각성	"어라... 이 힘은?"	2	· 주사위를 굴려, 주인공(잔느)이 아래 눈에 해당하는 능력을 얻는다.\n| 주사위 눈 | 획득 능력 |\n| --- | --- |\n| 1 | 팜므파탈 |\n| 2 | 마리오네트 |\n| 3 | 소드마스터 |\n| 4 | 빛의 사제 |\n| 5 | 마도사 |\n| 6 | 혈술사 |
초반부		내가 일을 하나 맡기려고 하는데		4	· 모든 플레이어는 자신에게 가장 가까운 악녀의 조우 토큰을 획득한다.\n· 이미 가진 조우 토큰이라면, 그다음으로 가까운 악녀의 조우 토큰을 획득한다.\n· 거리가 같을 경우 선택할 수 있다.\n· 모든 악녀의 조우 토큰을 이미 받은 플레이어는: 가장 가까운 악녀로부터 금화 2개를 받고 암살 의뢰를 받는다 → 같은 지역에 있는 캐릭터를 상대로 행동 비용 없이 "모략" 을 진행한다. 대상이 여럿이면 선택할 수 있다. 대상이 없다면 스킵한다.
초반부		충격! 대마법사 멀린의 사망		1	· 마도사로 각성하지 않은 플레이어는 마법 카드 한장을 버려 애도해야 합니다.\n· 미호의 조우 보호 효과를 끝내고, 서부로 행동비용 없이 강제로 이동한다.
초반부		샬롯의 데뷔당트		1	· 샬롯은 행동비용 없이 동부로 이동한다.\n· 메살리나와 조우한다.\n· 이미 메살리나와 조우했다면 두근!포인트를 잃는다.
초반부		깨어난 뱀파이어		1	· 바토리가 휴면에서 벗어난다.\n· 즉시 능력카드 10장과 물건카드 10장을 뽑는다. (npc 라면 생략)\n· 다음 막이 초반 시나리오라면 행동할 수 없다.
초반부		루크레치아: 제노비아, 쓸어버려		1	· 제노비아는 같은 지역에 있는 캐릭터를 상대로 행동 비용 없이 "모략" 을 진행한다. 단, 판정을 다음으로 변경한다.\n· 3 이하: 암살\n· 4 이상: 처단 / 암습\n· 검성으로 각성했다면 주사위를 굴리지 않고 암살한다.\n· 같은 지역에 다른 캐릭터가 아무도 없다면 두근! 포인트를 1 잃는다.
초반부		루크레치아: 이레네, 이 자는 이교도야		1	· 이레네는 같은 지역의 캐릭터에게 여론악화를 건다.\n· 성녀로 각성했다면 현상수배를 건다.\n· 같은 지역에 다른 캐릭터가 아무도 없다면 두근! 포인트를 1 잃는다.
초반부		메살리나: 데이지, 처리해		1	· 데이지는 같은 지역의 캐릭터에게 "암습 / 처단"을 진행한다.\n· 마리오네트를 각성했다면 "암살"을 진행한다.\n· 같은 지역에 다른 캐릭터가 아무도 없다면 두근! 포인트를 1 잃는다.
초반부		제국의 해적소탕령		1	· 그레이스가 동부 해역에 있다면 두근! 포인트를 1 잃는다. 생존했다면 행동 비용 없이 아카데미로 이동한다.\n· 그레이스가 동부 해역에 없다면 금화 1을 획득한다.
초반부		로욱시나: 도망자 마리를 찾아		1	· 마리가 서부에 있다면, 마리 플레이어는 다음 중 하나를 선택한다.\n1. 모든 능력 카드를 잃고 행동 비용 없이 아카데미로 이동한다.\n2. 두근! 포인트를 1 잃는다. 생존했다면 행동 비용 없이 아카데미로 이동한다.\n· 마리가 NPC라면 2번을 행한다.
