분류	이름	딸린 것	장수
단서	유모의 일기	샬롯	1
단서	황가의 팬던트	샬롯, 마리, 제노비아	2
단서	양녀증서	샬롯	1
단서	폐태자의 편지	샬롯, 제노비아, 이레네	2
단서	메모리 칩	데이지	1
단서	벨의 단검 ('내 사랑하는 여동생 데이지를 생각하며'가 각인된 단검)	데이지, 마리	2
단서	교회 7094지부의 인명부	데이지, 마리	2
단서	약간 남은 망각포션	마리	1
단서	교황칙서 (말살 - HAL, ZEN 이 적혀있음)	데이지, 제노비아, 이레네	2
단서	요마변환기	미호	1
단서	호요족의 기록	미호	1
단서	용사전기	미호, 바토리, 그레이스	2
단서	백요잡서	미호, 바토리	2
단서	진조의 전승	바토리	1
단서	영원의 관	바토리, 그레이스	2
단서	이교의 계약서	제노비아, 이레네, 그레이스	2
단서	추기경서임서	이레네	1
단서	인어의비늘	그레이스	1
유물	고대 연구소의 출입증	축 1 — 고대 SF 문명	2
유물	HAL의 코어 파편	축 1 — 고대 SF 문명	2
유물	승천의 문 설계도	축 2 — 용사와 승천	2
유물	승천자의 허물	축 2 — 용사와 승천	2
유물	이전 빙의자의 수기	축 3 — 소설 메타 진실	2
엘릭서	엘릭서	사용 시 빈사 상태에서 벗어난다. (actions.md의 "상태이상" 참고)	3
금화	금화	40장은 탐색 덱에 10장씩 · 20장은 세계은행연합	60
