번호	성향	이상형	대체	플레이버	특수	비고
1	귀족주의	매력 1, 검 1, 마법 1	과거의단서 1장 버림	응당 귀족이라면 만 영지민을 보살펴야하는 법		
2	사디즘	매력 1, 독약 1, 선혈 1	팜므파탈 각성	착하지? 가만있어봐?		
3	츤데레	매력 1, 신성 1, 어둠 1	팜므파탈 각성	착각하지 마. 그냥 지나가는 길이었을 뿐이니까.		
4	집착	매력 1, 독약 1, 어둠 1	팜므파탈 각성	어디 갔었지. 내 눈 앞에서 절대 사라지지 말도록.		
5	기사도	매력 1, 검 1, 신성 1	팜므파탈 각성	레이디를 위해서라면 기꺼이 칼이 되드리죠.		
6	선민주의	매력 1, 마법 1, 선혈 1	팜므파탈 각성	마력이 있다는 건 선택받았다는 뜻이지.	미호는 요마변환기 전까지 충족 불가	미호는 요마변환기를 얻기 전에는 해당 이상형을 충족할 수 없다.
7	물질만능주의	금화 2	만물금본으로 능력 각성	세상 모든 건 값을 메길 수 있다. 사람도 마찬가지고.		
8	외모지상주의	매력 2	팜므파탈 각성	보기에 좋은 떡이 먹기도 좋은 법인데.		
9	무투파	검 2	소드마스터 또는 검성 각성	말은 됐고. 검을 들어.	검성이 약혼 시 파기 불가	검성인 플레이어가 약혼 액션을 했을 경우 사망하는 경우를 제외하고 어떠한 경우에도(잔느라도) 약혼을 파기할 수 없다.
10	책벌레	마법 2	마도사 또는 요술사 각성	빙계마법은사실수계마법보다는시간계마법에더높은연관성이있다는가설에대해서너도동의하지?		
11	독실	신성 2	빛의 사제 또는 성녀 각성	(두 손을 모으며) 빛의 은총이 있길.	성녀가 약혼 시 파기 불가	성녀인 플레이어가 약혼 액션을 했을 경우 사망하는 경우를 제외하고 어떠한 경우에도(잔느라도) 약혼을 파기할 수 없다.
12	마조히즘	어둠 2	마리오네트 각성	날 더 옭아매줘. 너의 것으로 만들어줘.		
13	광혈도	선혈 2	혈술사 또는 진조 각성	오. 뱀파이어 퀸이시여. 부디 응답해주소서.	진조가 약혼 시 파기 불가	진조인 플레이어가 약혼 액션을 했을 경우 사망하는 경우를 제외하고 어떠한 경우에도(잔느라도) 약혼을 파기할 수 없다.
14	알코홀릭	독약 2	독술사 각성	...히끅! 그 병도 줘봐...		
15	재능주의	검 1, 마법 1, 신성 1	아무 각성 상태	허. 천재로군.		
16	악성	어둠 1, 독약 1, 선혈 1	빌런 포인트 1	악마숭배교가 발호했다고? 이거 흥미롭군.		
17	수집가	금화를 제외한 물건 1		오. 그 반지 좀 볼 수 있겠나?		
18	노력가	아무 각성 상태		재능을 각성하는 건 아무나 하는 일은 아니지.		
19	상냥함	빌런 포인트 0		어디 다친데는 없어?		
20	진심을 준다면	약혼 시 두근! 토큰을 1 지불. 잔느가 약혼을 파기할 수 없다.		내가 모든지 해줄게. 잔느? 그게 누구더라?	잔느가 파기 불가	
